name,key,personal_tier,platform_tier,posture,value,access,platform,personal,safety_net,override,override_personal,tags
Scotiabank Global Banking & Markets,scotiagbm,B,B,balanced,64.33,86.67,62.4,74.67,False,,,"investment,bank,toronto,quant"
National Bank Financial,nbf,C,C,balanced,52.0,66.67,43.47,58.88,False,,,"investment,bank,canada"
Bloomberg,bloomberg,A,B,balanced,73.17,86.67,67.6,79.63,False,,,"investment,data,fintech"
Morningstar Canada,morningstar,B,C,floor_only,60.83,80.0,48.67,69.76,False,,,"investment,data,toronto"
LSEG (Refinitiv),lseg,A,B,balanced,66.83,100.0,68.4,81.75,False,,,"investment,data,toronto,fintech"
Spotify,spotify,B,A,balanced,69.17,73.33,82.0,71.22,False,,,"bigtech,toronto,data"
TikTok,tiktok,B,A,balanced,64.0,73.33,85.6,68.51,False,,,"bigtech,toronto,ai,china"
Meta,meta,B,A,balanced,70.83,73.33,82.0,72.07,False,,,"bigtech,toronto"
Apple,apple,B,A,balanced,72.33,73.33,85.6,72.83,False,,,"bigtech,toronto"
Oracle Canada,oracle,A,A,balanced,62.5,100.0,78.0,79.06,False,,,"enterprise,canada"
ServiceNow,servicenow,B,A,floor_only,61.0,86.67,74.4,72.71,False,,,"enterprise,canada"
Cisco Canada,cisco,A,A,balanced,62.5,100.0,78.0,79.06,False,,,"enterprise,canada"
Workday Canada,workday,A,A,balanced,69.33,86.67,74.4,77.52,False,,,"enterprise,canada,data"
Block (Square),block,B,B,balanced,78.33,73.33,64.0,75.79,False,,,"fintech,bigtech"
Twilio Canada,twilio2,C,C,floor_only,51.0,66.67,45.07,58.31,False,,,"saas,canada"
DoorDash,doordash,B,A,floor_only,57.83,86.67,70.8,70.8,False,,,"bigtech,toronto,data"
Wayfair,wayfair,C,C,floor_only,42.67,86.67,50.4,60.81,False,,,"commerce,toronto,data"
Pinterest,pinterest,D,C,floor_only,42.67,60.0,50.4,50.6,False,,,"bigtech,toronto,data"
Intel Canada,intel,C,B,floor_only,48.17,73.33,63.6,59.43,False,,,"hardware,canada"
Qualcomm Canada,qualcomm,D,B,balanced,48.17,60.0,63.6,53.76,False,,,"hardware,canada"
Unity,unity,C,C,balanced,52.5,66.67,48.67,59.16,False,,,"saas,canada,gaming"
